2020-08-11 20:14:59,453 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2930384 数据获取中...
2020-08-11 20:14:59,856 | model_koubei.py | INFO  | 3788 博越 口碑：2930384 数据保存成功!
2020-08-11 20:14:59,857 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2930270 数据获取中...
2020-08-11 20:15:00,136 | model_koubei.py | INFO  | 3788 博越 口碑：2930270 数据保存成功!
2020-08-11 20:15:00,137 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2929659 数据获取中...
2020-08-11 20:15:00,448 | model_koubei.py | INFO  | 3788 博越 口碑：2929659 数据保存成功!
2020-08-11 20:15:00,449 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2929473 数据获取中...
2020-08-11 20:15:00,855 | model_koubei.py | INFO  | 3788 博越 口碑：2929473 数据保存成功!
2020-08-11 20:15:00,855 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2929071 数据获取中...
2020-08-11 20:15:01,193 | model_koubei.py | INFO  | 3788 博越 口碑：2929071 数据保存成功!
2020-08-11 20:15:01,194 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2928748 数据获取中...
2020-08-11 20:15:01,524 | model_koubei.py | INFO  | 3788 博越 口碑：2928748 数据保存成功!
2020-08-11 20:15:01,525 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2928466 数据获取中...
2020-08-11 20:15:02,018 | model_koubei.py | INFO  | 3788 博越 口碑：2928466 数据保存成功!
2020-08-11 20:15:02,018 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2928446 数据获取中...
2020-08-11 20:15:02,347 | model_koubei.py | INFO  | 3788 博越 口碑：2928446 数据保存成功!
2020-08-11 20:15:02,347 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2928293 数据获取中...
2020-08-11 20:15:02,685 | model_koubei.py | INFO  | 3788 博越 口碑：2928293 数据保存成功!
2020-08-11 20:15:02,685 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2927896 数据获取中...
2020-08-11 20:15:02,903 | model_koubei.py | INFO  | 3788 博越 口碑：2927896 数据保存成功!
