行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
巴中市本级,众彩物流园,四川巴中经济开发区兴文街道关公村L8-02-01组团,批发市场用地,装卸搬运和其他运输服务业,13.543698,拍卖出让,40,8583.0000,下限:上限:1.50,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aa3053b7-bb50-49ce-b905-cb9cd93ab29a,2020-08-26 16:57:04
朝天区,广朝国储1377号宗地,广元市朝天区曾家镇荣乐村,城镇住宅用地,房地产业,3.363438,拍卖出让,70,940.0000,下限:1.00上限:1.20,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b31f6b00-7faa-4aae-a1f3-a407d8b8d101,2020-08-26 16:57:07
大英县,商品房开发,天星大道以西、滨江南路以南,城镇住宅用地,房地产业,3.114500,拍卖出让,0,12240.2208,下限:1.00上限:2.20,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b5c72d41-576a-4b08-bbb1-8a96a87f0bc2,2020-08-26 16:57:09
朝天区,广朝国储1378号宗地,广元市朝天区曾家镇山峰村,城镇住宅用地,房地产业,5.984702,拍卖出让,70,1975.0000,下限:1.00上限:1.50,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c35fd4ef-3504-4641-b615-cf6118f0a53e,2020-08-26 16:57:12
仁寿县,四川联创考拉科技产业有限公司,仁寿县视高镇环天府新区快速通道南侧，视高大道东侧,其他商服用地,房地产业,3.226641,拍卖出让,40,9680.0000,下限:上限:2.50,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7fef847-3c64-4fa3-a53a-34c5d030df12,2020-08-26 16:57:14
渠县,渠城东区五期QCD2019B01-A地块,渠县天星镇五井村,城镇住宅用地,房地产业,4.909200,拍卖出让,城镇住宅用地70年;其他商服用地40年;,14620.0000,下限:1.00上限:2.20,2019年07月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e80a36dd-45a1-4fbc-ad44-6a60cba0d0ca,2020-08-26 16:57:17
稻城县,稻城县金珠镇龙古村,稻城县金珠镇桑邓祝巴左侧,其他商服用地,住宿业,2.198953,挂牌出让,40,263.8400,下限:上限:1.20,2019年07月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=78c56265-d9d4-4b5f-97a1-077a0c5c0b95,2020-08-26 16:57:20
绵阳市本级,居住兼容商业,涪城区青义镇灯塔社区A宗,城镇住宅用地,房地产业,2.772617,拍卖出让,70,22894.6300,下限:1.00上限:3.00,2019年07月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=366cf3d8-d2aa-4633-b20f-05500ae0c3e5,2020-08-26 16:57:22
蓬溪县,四川世强物流有限公司,上游工业园,工业用地,零售业,1.742548,挂牌出让,50,195.2658,下限:1.00上限:,2019年07月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39a36fc8-e14f-4164-8d4c-0e2e3271b731,2020-08-26 16:57:25
成都市本级,龙泉驿区大面街道驿都大道以南、行政学院以东,龙泉驿区大面街道驿都大道以南、行政学院以东,城镇住宅用地,房地产业,14.133791,拍卖出让,70,272697.7890,下限:1.00上限:2.30,2019年07月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d63b0f9b-9dd0-434f-a4be-16aef07e439d,2020-08-26 16:57:27
成都市本级,武侯区簇桥街道办事处七里村5、6、8组，簇锦街道办事处铁佛村7组,武侯区簇桥街道办事处七里村5、6、8组，簇锦街道办事处铁佛村7组,其他商服用地,房地产业,13.768685,拍卖出让,40,236444.3550,下限:1.00上限:2.60,2019年07月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fbc4fdc4-d265-4044-8249-61a6a60d02af,2020-08-26 16:57:30
西昌市,西昌恒量房地产开发有限公司西部新城A1-08号地块住宅用地（R21）,西昌市小庙乡李家村,城镇住宅用地,房地产业,6.257795,拍卖出让,70,36100.0000,下限:1.00上限:2.50,2019年07月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f92d910-9418-4d21-97ec-d68fb7b50fee,2020-08-26 16:57:33
绵阳市本级,居住兼容商业,涪城区城郊乡新观寺村4社,城镇住宅用地,房地产业,5.186114,拍卖出让,70,32234.2164,下限:1.00上限:2.40,2019年07月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=82b9f0fc-cb7d-4852-9d45-e0ec323e8003,2020-08-26 16:57:35
